contrast,cohort,AUC,CI95_lo,CI95_hi,n_tgt,n_ref
AD vs CN,ALL,0.6858343521492756,0.6558208430909201,0.7188746288116831,398,1081
MCI vs CN,ALL,0.576161075478209,0.5512510230371507,0.5993686916633553,1142,1081
PD vs CN,ALL,0.5822991755828228,0.5562259142765256,0.6088836284924938,636,1081
PPD vs CN,ALL,0.5410439932479472,0.5105656739087445,0.5730165306018182,388,1081
