contrast,cohort,threshold,sens,spec,ppv,npv,tp,tn,fp,fn
AD vs CN,ALL,0.3758217706135518,0.6575342465753424,0.8256880733944955,0.7164179104477612,0.782608695652174,144,270,57,75
MCI vs CN,ALL,0.36944489266846664,0.38596491228070173,0.8256880733944955,0.6984126984126984,0.5625,132,270,57,210
PD vs CN,ALL,0.10273566628415581,0.5623100303951368,0.6422018348623854,0.6125827814569537,0.5932203389830508,185,210,117,144
PPD vs CN,ALL,0.3026806586614573,0.3388704318936877,0.7828746177370031,0.5895953757225434,0.5626373626373626,102,256,71,199
