contrast,cohort,AUC,CI95_lo,CI95_hi,n_tgt,n_ref
AD vs CN,ALL,0.7438593551450156,0.6945188252558548,0.7888804058079972,219,327
MCI vs CN,ALL,0.6085448074825187,0.5664132797038139,0.6539888468073743,342,327
PD vs CN,ALL,0.6187222888374557,0.5731634362016711,0.6632899474983969,329,327
PPD vs CN,ALL,0.5536488971522042,0.5079762530440897,0.5985858577381254,301,327
